ID,Email,URL,Label
1,secure@amazon-update.net,http://amazon.secure-update.net/verify,phishing
2,verify@microsoft-verify.info,http://microsoft.verify-verify.info/verify,phishing
3,payment@apple-verify.net,http://apple.payment-verify.net/verify,phishing
4,secure@amazon-service.net,http://amazon.secure-service.net/verify,phishing
5,account@dropbox-login.org,http://dropbox.account-login.org/verify,phishing
6,support@apple-account.com,http://apple.support-account.com/verify,phishing
7,verify@amazon-payment.net,http://amazon.verify-payment.net/verify,phishing
8,customer@amazon-payment.com,http://amazon.customer-payment.com/verify,phishing
9,account@dropbox-verify.net,http://dropbox.account-verify.net/verify,phishing
10,alert@dropbox-support.net,http://dropbox.alert-support.net/verify,phishing
11,payment@microsoft-update.org,http://microsoft.payment-update.org/verify,phishing
12,verify@facebook-secure.org,http://facebook.verify-secure.org/verify,phishing
13,service@gmail-verify.info,http://gmail.service-verify.info/verify,phishing
14,login@amazon-customer.org,http://amazon.login-customer.org/verify,phishing
15,login@paypal-service.net,http://paypal.login-service.net/verify,phishing
16,account@bankofamerica-account.org,http://bankofamerica.account-account.org/verify,phishing
17,service@bankofamerica-service.info,http://bankofamerica.service-service.info/verify,phishing
18,verify@linkedin-payment.com,http://linkedin.verify-payment.com/verify,phishing
19,update@apple-customer.info,http://apple.update-customer.info/verify,phishing
20,login@microsoft-alert.net,http://microsoft.login-alert.net/verify,phishing
21,secure@facebook-alert.org,http://facebook.secure-alert.org/verify,phishing
22,service@paypal-account.com,http://paypal.service-account.com/verify,phishing
23,account@microsoft-support.com,http://microsoft.account-support.com/verify,phishing
24,login@outlook-account.com,http://outlook.login-account.com/verify,phishing
25,account@apple-support.com,http://apple.account-support.com/verify,phishing
26,payment@dropbox-update.com,http://dropbox.payment-update.com/verify,phishing
27,customer@paypal-payment.org,http://paypal.customer-payment.org/verify,phishing
28,customer@linkedin-update.com,http://linkedin.customer-update.com/verify,phishing
29,update@outlook-support.com,http://outlook.update-support.com/verify,phishing
30,alert@linkedin-payment.info,http://linkedin.alert-payment.info/verify,phishing
31,payment@facebook-login.com,http://facebook.payment-login.com/verify,phishing
32,login@linkedin-update.com,http://linkedin.login-update.com/verify,phishing
33,support@bankofamerica-alert.org,http://bankofamerica.support-alert.org/verify,phishing
34,update@microsoft-login.com,http://microsoft.update-login.com/verify,phishing
35,alert@dropbox-payment.net,http://dropbox.alert-payment.net/verify,phishing
36,payment@amazon-secure.info,http://amazon.payment-secure.info/verify,phishing
37,update@facebook-update.org,http://facebook.update-update.org/verify,phishing
38,service@outlook-service.com,http://outlook.service-service.com/verify,phishing
39,payment@gmail-alert.com,http://gmail.payment-alert.com/verify,phishing
40,login@microsoft-update.info,http://microsoft.login-update.info/verify,phishing
41,account@outlook-verify.net,http://outlook.account-verify.net/verify,phishing
42,update@apple-alert.info,http://apple.update-alert.info/verify,phishing
43,alert@gmail-alert.net,http://gmail.alert-alert.net/verify,phishing
44,secure@facebook-support.com,http://facebook.secure-support.com/verify,phishing
45,payment@microsoft-support.org,http://microsoft.payment-support.org/verify,phishing
46,verify@outlook-alert.com,http://outlook.verify-alert.com/verify,phishing
47,account@facebook-update.com,http://facebook.account-update.com/verify,phishing
48,account@gmail-verify.com,http://gmail.account-verify.com/verify,phishing
49,alert@facebook-service.com,http://facebook.alert-service.com/verify,phishing
50,secure@bankofamerica-service.net,http://bankofamerica.secure-service.net/verify,phishing
51,update@dropbox-support.net,http://dropbox.update-support.net/verify,phishing
52,update@bankofamerica-alert.org,http://bankofamerica.update-alert.org/verify,phishing
53,service@facebook-alert.net,http://facebook.service-alert.net/verify,phishing
54,secure@dropbox-update.com,http://dropbox.secure-update.com/verify,phishing
55,account@microsoft-service.net,http://microsoft.account-service.net/verify,phishing
56,customer@facebook-account.org,http://facebook.customer-account.org/verify,phishing
57,service@microsoft-update.net,http://microsoft.service-update.net/verify,phishing
58,login@paypal-service.net,http://paypal.login-service.net/verify,phishing
59,login@bankofamerica-secure.org,http://bankofamerica.login-secure.org/verify,phishing
60,customer@dropbox-verify.info,http://dropbox.customer-verify.info/verify,phishing
61,login@dropbox-update.com,http://dropbox.login-update.com/verify,phishing
62,payment@outlook-support.org,http://outlook.payment-support.org/verify,phishing
63,support@linkedin-customer.com,http://linkedin.support-customer.com/verify,phishing
64,update@paypal-account.org,http://paypal.update-account.org/verify,phishing
65,customer@gmail-service.info,http://gmail.customer-service.info/verify,phishing
66,verify@microsoft-login.org,http://microsoft.verify-login.org/verify,phishing
67,secure@apple-login.com,http://apple.secure-login.com/verify,phishing
68,alert@dropbox-customer.net,http://dropbox.alert-customer.net/verify,phishing
69,login@apple-account.info,http://apple.login-account.info/verify,phishing
70,update@bankofamerica-login.info,http://bankofamerica.update-login.info/verify,phishing
71,account@apple-service.net,http://apple.account-service.net/verify,phishing
72,support@linkedin-support.org,http://linkedin.support-support.org/verify,phishing
73,payment@dropbox-account.info,http://dropbox.payment-account.info/verify,phishing
74,customer@gmail-alert.net,http://gmail.customer-alert.net/verify,phishing
75,service@outlook-verify.org,http://outlook.service-verify.org/verify,phishing
76,alert@dropbox-account.net,http://dropbox.alert-account.net/verify,phishing
77,customer@paypal-login.org,http://paypal.customer-login.org/verify,phishing
78,update@linkedin-account.org,http://linkedin.update-account.org/verify,phishing
79,alert@apple-verify.com,http://apple.alert-verify.com/verify,phishing
80,secure@amazon-login.org,http://amazon.secure-login.org/verify,phishing
81,service@gmail-customer.com,http://gmail.service-customer.com/verify,phishing
82,secure@bankofamerica-verify.org,http://bankofamerica.secure-verify.org/verify,phishing
83,service@paypal-secure.org,http://paypal.service-secure.org/verify,phishing
84,account@paypal-secure.info,http://paypal.account-secure.info/verify,phishing
85,customer@dropbox-customer.com,http://dropbox.customer-customer.com/verify,phishing
86,service@apple-verify.info,http://apple.service-verify.info/verify,phishing
87,verify@apple-payment.info,http://apple.verify-payment.info/verify,phishing
88,customer@paypal-login.info,http://paypal.customer-login.info/verify,phishing
89,update@apple-update.info,http://apple.update-update.info/verify,phishing
90,account@linkedin-account.org,http://linkedin.account-account.org/verify,phishing
91,secure@linkedin-customer.info,http://linkedin.secure-customer.info/verify,phishing
